,Tweet,HS,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Gender
0,tinggal sesal sapa be emu orang tua happy pekan kawan,0,0,0,0,0,0
1,kabar pantau,0,0,0,0,0,0
2,kerja bagus apresiasi                 f,0,0,0,0,0,0
3,sebentar sebentar wali kota semarang kerja ganjar,0,0,0,0,0,0
4,selamat ulang umur sehat hidup berkat amin                 go,0,0,0,0,0,0
5,gibran twit gubernur jawa biar wali kota semarang bagus,0,0,0,0,0,0
6,cute,0,0,0,0,0,0
7,monsterhiphoop waahh iya lucu itu migor turun benar ukur k k lo,0,0,0,0,0,0
8,waahhh,0,0,0,0,0,0
9,jokowi terima kasih harga minyak goreng turun                 np,0,0,0,0,0,0
10,harga pas beliau hasil kerja pagiiii                 t k,0,0,0,0,0,0
11,sengaja mulu bonyok bonyok kenal,0,0,0,0,0,0
12,tunggu komentar raja,1,1,0,0,0,0
13,kantor pos presiden jokowi serah bantu sosial warga lanjut hidup demo hasil,0,0,0,0,0,0
14,dengar burung,0,0,0,0,0,0
15,kakakeyo jokowi jokowi pesawat presiden kunjung daerah sapa warga bangga pesawat presiden terbang                 wmbeklhm,0,0,0,0,0,0
16,pagi pekak pulang rumah sakit,0,0,0,0,0,0
17,rahajeng semeng moga makhluk bahagia damai om shanti shanti shanti om                 k a,0,0,0,0,0,0
18,tipu perintah repot                 fd,1,0,1,0,0,0
19,addiems mbak lita twitter tolong titip es sih bungsu lihat                 c e,0,0,0,0,0,0
20,posting cinta mudah positif,0,0,0,0,0,0
21,mie instan ketemu mbak intan tah,0,0,0,0,0,0
22,rasa,0,0,0,0,0,0
23,jokowi salah fokus paspampresnya aman bayang jokowi senang banget blusuk sehat paspampresnya                 x,1,1,0,0,0,0
24,amin,0,0,0,0,0,0
25,hasil                 c,0,0,0,0,0,0
26,listy save monsta,0,0,0,0,0,0
27,warga pakde                 gb,0,0,0,0,0,0
28,komen waras,0,0,0,0,0,0
29,cewek,0,0,0,0,0,0
30,kayak long nih bocah sehat ya jokowi                 t xa,0,0,0,0,0,0
31,yradianto ngupi neng,0,0,0,0,0,0
32,yradianto madebylaluna,0,0,0,0,0,0
33,madebylaluna nyali ya jokowi nih salah menteri kaleng                 rekan,1,1,0,0,0,0
34,selamat ulang mbak baby libra girl umur mudah rezeki sehat cantiiikkk bahagia limpah berkah hidup amin hip hip uraaa all the best just for,0,0,0,0,0,0
35,selamat pagi mbak ve                 kerja rumah,0,0,0,0,0,0
36,maaf to sayang bikin video akhlak mbak puan ganjar kader partai demokrasi indonesia juang santai tunjuk mampu nyinyir                 ec,0,0,0,0,0,0
