,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Gender
0,"Jangan Nanti Hanya Tinggal Penyesalan..

Sudahkah menyapa dan bertemu orang tua kita??
Happy weekend, kawan..
☕☕☕ https://t.co/nPHnUKl60m",0,0,0,0,0,0,0
1,"@ElfridaHutabar5 🤗🤗🤗..
Tetap kabarkan keadaan di sana .
Kami pantau..",0,0,0,0,0,0,0
2,"@puspaswarna @Miduk17 Kerja yang bagus, harus diapresiasi. https://t.co/F9dpTAslOU",0,0,0,0,0,0,0
3,"@Miduk17 Sebentar-sebentar..
Bukannya ada walikota Semarang tuh.
Kenapa semua2 kerja pak Ganjar??",0,0,0,0,0,0,0
4,"@__Bungs HBD..
Panjang umur, sehat dan hidup yang selalu diberkatiNya..
Aamiin.. https://t.co/xEiGo86ctL",0,0,0,0,0,0,0
5,@MbahSular @JANUARD_1 @gibran_tweet Gubernur Jateng biar pak walkot Semarang ae.. bagus juga itu..,0,0,0,0,0,0,0
6,@benuaandin Cute 👌,0,0,0,0,0,0,0
7,"@Listy9021 @monsterhiphoop Waahh masa iya lucu..
Itukan migor emang turun beneran.
1 pouchnya ukuran 2 liter jadi 34,9k.
Sebelum naik sekitar 37-38k lho..",0,0,0,0,0,0,0
8,"Waahhh.. 😳😳😳..

https://t.co/nOPEFCPI0N",0,0,0,0,0,0,0
9,"Pak Jokowi..

Terima kasih.. 🙏🙏🙏..
Harga minyak goreng sekarang turun.. https://t.co/NP6oiZprhg",0,0,0,0,0,0,0
10,"Penghargaan yang pas untuk beliau jika melihat hasil kerjanya..
Pagiiii... https://t.co/t40K3wdaAS",0,0,0,0,0,0,0
11,"@basaillive Whaaa kereeennn...
Sengaja tuh bagian dibantingnya aku reply mulu..
🥳🥳🥳🥳...
Bonyok bonyok dah..
G kenal ini.. 🤣🤣🤣",0,0,0,0,0,0,0
12,@SantorinisSun Nungguin komentar raja Charles..,0,0,0,0,0,0,0
13,"Kantor pos, Tidore.
Presiden Jokowi menyerahkan bantuan sosial untuk warga.

Kita terus melanjutkan hidup, sementara para pendemo, apa hasilnya?? https://t.co/qFza81ShMK",0,0,0,0,0,0,0
14,"@Rosses1Black Bisa dengar kicau burung tanpa mengandangi..
🤩🤩🤩",0,0,0,0,0,0,0
15,"@wiwinwajhudi @KakaKeyo @jokowi Pak Jokowi menggunakan pesawat kepresidenan jika memungkinkan untuk berkunjung ke daerah, menyapa warga..

Ada rasa haru dan bangga melihat pesawat kepresidenan terbang.
https://t.co/WMbEKlhM65",0,0,0,0,0,0,0
16,"@Pekaklonto76 Pagi Pekak..
Udah pulang dari rumah sakit?? https://t.co/aUuhXgdCxq",0,0,0,0,0,0,0
17,"Rahajeng Semeng..
Semoga semua makhluk berbahagia.. damai..
Om Shanti Shanti Shanti Om.. https://t.co/1K7zqvQ4a0",0,0,0,0,0,0,0
18,"@pn7l7h Ntar kalo ketipu, pemerintah juga yang repot. https://t.co/fD5hivgaDW",0,0,0,0,0,0,0
19,"@WidyoLita @addiems Biasa mbak Lita, dapet dari twitter..
Tolong titip esnya buat si bungsu..
Dah segede apa sekarang??
Lama g lihat... https://t.co/KYTqYN5c2E",0,0,0,0,0,0,0
20,"@addiems Posting mencintai, lebih mudah dan bervibes positif.. https://t.co/gjboHG7VGC",0,0,0,0,0,0,0
21,"@rehan_8910 Mie instan..
Udah ketemu ma mbak Intan tah?? Begitu syuliiittt...
🎶🎶🎶",0,0,0,0,0,0,0
22,Akhirnya... Bisa juga ngerasain... 😋😋😋 https://t.co/RbM7IYbxGB,0,0,0,0,0,0,0
23,"@KakaKeyo @jokowi Salfok ma paspampresnya..
Cekatan mengamankan.
Kebayang riweuhnya karena pak Jokowi seneng banget blusukan..
Sehat terus juga untuk paspampresnya.. https://t.co/RLOaP189x9",0,0,0,0,0,0,0
24,@KakaKeyo @AnakBai01873902 Aamiin...,0,0,0,0,0,0,0
25,@emihsan99 Ada hasilnya?? https://t.co/8C4LntutDv,0,0,0,0,0,0,0
26,@monsterhiphoop @Listy9021 Save Monsta.. 😎,0,0,0,0,0,0,0
27,"Wargamu, pakde... 🥳🥳🥳 https://t.co/Tu87GB9u9G",0,0,0,0,0,0,0
28,@Listy9021 Ini komen paling waras. 🥳👌,0,0,0,0,0,0,0
29,@RANGERmounts Tttappiii... Dia cewek.. 👀,0,0,0,0,0,0,0
30,"@Madebylaluna Kayak curcol ma uwaknya aja nih bocah...
Sehat terus ya pak Jokowi.. https://t.co/8XMk75t1xA",0,0,0,0,0,0,0
31,"@Madebylaluna @YRadianto Ngupi, neng.. https://t.co/X7PTTFVhbn",0,0,0,0,0,0,0
32,@Dee43941803 @YRadianto @Madebylaluna https://t.co/JYoV9yqBDc,0,0,0,0,0,0,0
33,"@YRadianto @Madebylaluna Sering...
Tapi yang bernyali ya pak Jokowi..
Nih, salah satu menterinya, bukan kaleng2. https://t.co/Cs37Q7swbu",0,0,0,0,0,0,0
